"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"sorA_2",17.5962367752355,2.11520444025277,0.567505870094397,3.72719394056829,0.00019362346695704,0.000259137604855402
"patA_1",6312.30631921339,2.10342126616692,0.0757633416754956,27.76304766461,1.21249769103436e-169,7.9084543276445e-169
"araN_1",766.616652088853,2.10056281958216,0.0975738049740666,21.5279379556886,8.52428526266369e-103,3.84796831913463e-102
"dtd3_1",1249.86456138521,2.06935155053711,0.0940930023389826,21.9926189950024,3.38855862783968e-107,1.58795210770904e-106
"hmpT",5239.58162554174,2.06418113412862,0.0566160771469766,36.4592751414049,4.9044944731106e-291,5.2599880322354e-290
"malH",62.2958654194515,2.04598541581143,0.309139464635057,6.61832489820327,3.63291887613937e-11,5.99112937468598e-11
"yheH",3468.95390089311,2.04429685109223,0.0601024028991736,34.0135627276282,1.4040916911909e-253,1.31212779094916e-252
"gmuC_1",469.113230994778,2.04008701957218,0.116439296665802,17.5206058262918,9.9757447673403e-69,3.48823635409405e-68
"kdgA",1581.24082829206,2.0387253459795,0.0813359268928999,25.0654959482299,1.18332741454371e-138,6.90130368044106e-138
"dhaL",749.276387528687,2.01069229732974,0.114502111165558,17.5603076385421,4.96056546941181e-69,1.73837360090353e-68
"sugC",1707.21662138615,1.99956753085175,0.0860877982231136,23.2270725018367,2.42594861031108e-119,1.23855139913007e-118
"yheS_2",2973.39894806815,1.989945336552,0.0732397597110879,27.170287619755,1.45827610566946e-162,9.24732228912619e-162
"pstS1_1",888.703595273794,1.98260577394823,0.0908281555932841,21.8280968164328,1.25539746378335e-105,5.83175914862149e-105
"ubiB",1881.91225178084,1.96700145193325,0.0797766329913939,24.6563608687953,3.14518385605956e-134,1.78861345266305e-133
"hisK",1198.07579151453,1.95007539006383,0.0835850674879399,23.3304278942551,2.17798401637498e-120,1.12634901558809e-119
"fcbA1",4748.98380080251,1.9469423881693,0.0569585426318763,34.1817451466835,4.51586173792187e-256,4.29544467690426e-255
"ybhF",135.329381912184,1.94434352694515,0.201006279846878,9.67304866507804,3.92507728703043e-22,7.8013352048192e-22
"ssuB",801.767637695544,1.94070477067517,0.0954214319052123,20.3382482522688,5.90004429097374e-92,2.44890150051325e-91
"rny_2",9489.63903087555,1.93045117180123,0.0570631389257869,33.8300908106697,7.12295259734227e-251,6.61771991311218e-250
"cysK",14962.2778316229,1.9209412286411,0.0624865448541117,30.7416777984118,1.57975739844808e-207,1.21367900130771e-206
"carA",3579.06686073902,1.91593426810364,0.204258484344832,9.37994950001262,6.60043340929979e-21,1.29100276475656e-20
"banIM",13.7667672977076,1.91546057564399,0.665583302854591,2.87786752977254,0.00400373226785313,0.00506970219019754
"pyrR",1694.15522479399,1.91522074222751,0.130551593141405,14.6702211450844,1.00018550814121e-48,2.77001116466143e-48
